gene	EPI_E5	PE_E5	EPI_E6	PE_E6	EPI_E7	PE_E7
CELA3A	1.1	9.5	3.6	6.8	0.3	12.2
PLA2G4F	10.4	5.8	9.2	2.8	9.1	1.4
FOXD3-AS1	32.8	9.6	41.9	20.2	66	10
NRBP2	17.7	9.1	15	3	7.3	3.2
VSNL1	1.7	0.1	12.2	6.5	25.4	4.6
SRGAP1	3.7	7.7	6.1	5.7	1.9	10.8
PARP1	145.8	116.7	164	87.3	140.9	58.5
TBCD	54	36.5	42.1	13.4	19.6	9.9
INSR	10.5	6.8	15.2	5.6	8.5	2.4
LGALS2	74.6	108.4	127.6	80.2	2.9	80.8
CR1L	4	1	1.7	0.5	2.7	0
HLA-DRB1	1	0.4	1.1	4.7	1.6	13.4
ATP8B2	4.3	2	8.5	4	8.4	1.9
AARS2	35.3	18.3	21.8	7.5	16.7	6.2
ICOSLG	7.2	3.4	10.3	2.5	5.7	1.7
IFITM3	559.2	491.8	1055	263.4	1301.5	318.1
LAPTM4B	93	53.7	141.5	47.6	92.7	58.5
SERPINB6	90	79	117.2	37.7	94.4	34.3
NEFH	37.2	25.4	56.3	18.1	30.6	5.8
ETV1	3.7	3	4.8	1.4	5	0.6
NQO1	11.8	23.2	13.3	27.7	12.5	38
PLBD1	55	45.1	88.3	33.9	90.6	33.4
GGT1	2.3	0.7	6.5	1.3	5.2	1.2
MEIS2	2.7	0.9	4.9	1.2	5	1.1
GATA6-AS1	4	14.1	2.7	8.1	1.3	12.7
CECR2	1.7	0.4	3.6	1.3	2.7	0.7
RGS5	1.9	5.4	1.6	4.7	1.3	8.3
DEPDC7	3.3	15	8.4	16.2	4	15.3
LBH	22.7	53.2	39.2	33	17.8	80.3
KHDC3L	12.7	4.7	93.5	26.6	197.3	38.9
PBX3	18.3	11.1	16.7	3.4	11.2	6.1
NGEF	13.6	9.8	10	1	7	2.6
GPX2	340.4	600.6	791	405.5	273.4	1024.7
P2RY6	7	18.4	9.4	51.7	39.6	52.5
PITX2	3.6	12.4	9.1	36.8	7	49.9
NLRP9	6.7	2.8	10.3	2.4	3.7	0.5
ITGA5	0.6	1.7	1.9	15.2	11.8	19.9
FRAT2	95.3	40.2	69.6	30.2	56.2	34.7
NRGN	15.1	8.2	50.6	1.6	1.9	3.4
TRH	0	0.6	9	0	2.4	0.1
SH3RF2	1.3	3.6	0.6	2.3	0.3	4.5
PRUNE2	2.2	1.5	4.3	0.9	4.5	0.9
SALL1	0.7	2.3	0.6	1.2	0.3	3.3
ITFG3	64.4	31	35	15.5	24.1	11.7
UCP2	85	42.8	31.2	15	36.7	11.5
DUSP6	8	35.7	19.3	40.9	12.7	32
BRWD3	9.1	5.6	8.6	3.3	4.7	1.8
IGSF1	6.8	4.3	13.4	3	11.9	0.5
CD9	394.8	362.1	366.6	139	312.9	134.3
CELA3B	1.4	8.2	1.8	3.5	0.2	8.6
USP13	1.5	0.3	2.9	1.2	2.8	0.5
HMGCR	78.2	205.6	64.1	107.4	41.9	97.2
SLC25A29	42.9	20.7	40.9	10.9	25.5	14.8
KIFAP3	14.7	34.6	10.3	13.9	5.1	15.1
PHLDA3	28.8	20.6	52.3	8.4	41.2	23.2
SHPK	53.4	36.5	38.6	11.7	34.8	18.9
PITPNM2	1.5	0.7	3	0.6	3.8	0.9
SMAD9	0.7	3.6	1.7	3.1	0.8	4.4
REST	55.6	31.7	58.8	20.9	38.8	24
ROBO1	1	2.8	1.4	5	1.5	6.1
ZMYND8	26.3	19.4	36.4	20.8	39.5	14.9
SOX17	4.3	16.1	9.8	6.8	3	27.5
LAMA1	24.3	32.6	25	78.2	24	63.1
GPM6B	3.3	1.3	6.7	3.1	19.5	2.2
MEG9	2.2	0.3	2.8	0.7	1.6	0.2
UBTD1	23.7	14.3	30.8	2.8	22.4	13.4
TNIP3	0.1	0.4	0	3.9	0.4	9.6
MYCL	24.4	10.8	20.7	4.3	12.1	6.3
DOCK6	17.1	10.4	9.8	4.3	7.7	2.7
CBR3	9.3	3.4	34.9	17.5	18	1.8
SLC35E4	38.9	27.9	20.6	9.2	6.4	24.8
ZNF398	11.8	3.7	6.9	3.1	5.8	2.2
OXT	293.2	280.5	443.7	107	188.8	35.4
NOG	0.8	2.9	0.5	3.5	0.6	10.1
CACHD1	3	4.7	3.4	19	2.9	18.4
LINC01356	19.4	65.9	86.9	55.8	71.8	121.6
COL18A1	0.1	0.5	1.1	3.6	0.3	7.8
LIX1L	0.9	0.1	2.3	1	2.3	0.4
FAM124A	7	4.5	8.7	0.7	2.3	1
TMEM88	2.2	3.5	2.1	17	3.2	50.4
SP8	2.1	4.7	3.1	5.9	2	13.1
SERINC5	42.1	32.1	51.7	27.6	40.6	15.1
CYP4F35P	1.2	0.1	1.1	0.8	1.2	0
ZYG11A	32.2	20.6	17.1	6.2	13.9	5.8
DAB2IP	2.1	0.8	3.5	1.2	3.6	0.5
PGM1	15.9	40.5	16.5	33.9	14.8	34.9
TGFB3	5	2.4	11.7	1.8	10.5	1.9
STOM	26.6	41.3	63.8	29.6	67.6	21
EDEM1	5.8	11.4	4.7	9.5	4.1	11.6
TSPAN18	16.8	7.4	19.1	3.9	14.6	8.6
TRIM8	20.8	12.6	22.5	3.9	7.4	4
ZIC3	2.1	0.5	3.1	1.1	4.1	0.8
RNASET2	51.6	39.1	37.9	7	29.6	11
MAP1B	1.8	0.8	3.6	1.6	4.9	0.6
GKAP1	9.4	3	9.2	2.6	5.9	1.4
RHOBTB1	0.2	1.9	2.1	13.5	28.5	38.9
CAMKV	5.2	2.4	7.1	2.2	7.4	0.8
FST	0.6	3.4	1.8	8.9	13.4	35.1
MBOAT2	7.9	3.6	5.5	2.2	4.9	0.8
ADM	34.6	88.5	44.5	141.2	152.5	325.1
IL23A	8.5	1.6	8.4	4.6	13.5	1.5
MANEA	2.6	7.2	2	7.2	2.8	6.1
OTX2	31.9	46.8	9.2	21.9	5.6	40.1
CARHSP1	60	42.6	96.6	42.4	96.7	49.1
POU5F1	147.4	134.4	196.8	46.9	144.6	49.6
TMEM246	0.2	0.3	2.2	0	2	0
TPTE2P6	1.7	0.3	2.7	0.4	1.1	0.1
CFLAR	122	95.5	95.3	27.6	40.8	27.1
LRRC16A	9.2	13.4	9.9	18.8	5.4	16.9
PHACTR2	3.4	6.4	3.7	10.2	4.9	11.9
KCNJ16	0.5	1.9	0.8	1.6	0	1.9
CCAT1	0	0.8	0.1	0.8	0	1.7
GPRC5C	67.3	54.5	56	10.9	19.8	8.9
PKP2	10.6	16.3	14.8	33.9	16.7	44
CDC34	21.8	12	39.2	8.4	14.8	27.2
ZNF296	118.5	87.5	91.5	27.8	59.6	30.7
C2CD4C	1.6	0.2	1.7	0	1.3	0.2
AMOT	8.2	13.1	4.8	9.7	2.3	9
USP28	70.4	61.3	64.4	24.4	47.2	20.8
FBXO36	14	8.7	13.7	8.9	13	3.1
GATM	0	0.3	0.2	0.8	0.2	3.4
KAZN	20.2	11.6	16.7	2.4	8.7	3.7
ID2	28.6	49.7	14.8	35.8	52.7	137.4
RTL1	1.5	0.2	1	0.2	0.8	0
TMEM159	11.6	7.2	25.3	6.3	11.3	3.7
FGF8	3.5	1.4	6.5	0.4	6.3	0.7
SH3PXD2A	4	1.7	3.2	1.3	3.2	1
SLC6A6	24.4	19.9	37.4	10.5	30.4	14.5
AHNAK	9.1	17.9	14	19.2	6.9	14.1
CHST12	112.5	91.8	81.5	19.1	35.1	22.9
APOBEC3C	16.1	9.6	26.1	4.9	21.3	5.2
KCNH2	2.5	0.6	6.4	0.2	2.3	0.4
CAPG	104.8	95.1	130.2	60.9	99.7	33.8
CREB3L1	0	0.1	9	1	7.2	1.2
KIAA0922	3	1.6	8.3	4.6	11	2.1
ATG3	637.4	420.5	410	219.8	286.1	191.8
GK	3.1	1.4	3.6	0.6	1.5	0.3
SPHK1	25.3	15.6	71.1	5.5	16.6	6.4
HS6ST1	21.5	12.2	11.2	2.4	4.3	2.5
MGST2	35.1	39.1	36.9	90	16.1	152.4
PCSK5	1.4	1	6.5	2.2	9.1	2.6
RPRM	4.8	0.5	5.2	1.4	11.3	0.8
ZNF462	1.1	1.3	3.5	0.9	3.2	0.5
IER2	114.8	80.1	125.9	39.9	152.8	94.6
PTPRD	0.3	0	1.8	0.4	1.5	0.5
GCHFR	60.3	39	53.3	24.1	99.2	23
SERPINB9	95.6	32.5	149	86.3	208.9	135.8
MMP15	4.1	1.6	4.9	0.5	3.2	1.7
ANKRD45	7.7	5.4	5.9	0.7	6.6	1.1
GTF3C1	27.7	16.9	19.3	10.7	18.6	10
LPHN1	3.7	1.7	3.8	1	2.6	1.3
PQLC3	122.6	110.1	79.5	33.9	56.7	22.2
ANXA3	91.6	139.9	84.1	146.6	72.7	190.8
KAT7	33.5	22.4	30.5	17.3	23.9	9.5
SLC16A10	7.7	3.8	9.7	3.8	11.2	4.2
LOC100507420.uid_10773	3.8	10	11.7	7.5	0.5	11.2
GLIS2	5	1.6	6.7	0.4	1.5	0.9
PKD1L1	2.1	0.8	2	0.2	0.6	0.3
HN1	572.6	399.8	701.3	458.6	670.6	417.3
CDA	34	18.2	74.5	9.2	31.9	7.3
MEG8	2.8	0.1	5.6	0.3	4	0.1
MIAT	2.7	1.1	4.3	0.7	2.2	0.4
ERF	16	9.7	18.7	3.9	5.5	11.1
LIPG	0.4	3.3	0.5	2.7	3.9	11
PDE6G	14.5	7.5	16.7	3.5	9.2	0.5
SAT1	239.2	156.5	538.7	242.1	212.9	95.3
MRC2	0.6	0.2	2.2	0.8	3.8	0.8
REC8	5.6	2.4	13.7	4.5	19.8	6.8
DPF1	16.9	10.9	19.7	1	3.3	1.3
CCR8	35.7	60.6	20.7	2.6	5.2	1.3
RPS6KA2	2.1	0.7	3.1	0.5	2	0.4
SEMA4B	12.3	6.1	13.9	5.4	13.5	6.3
CALB1	8.9	3.4	18.2	10	16.8	5.7
STX3	12.1	18.7	13.4	18.3	11	29.4
OLR1	5.9	7.6	6	32.3	12.6	20.7
TMEM123	12.4	33.3	21.5	28.2	19.6	45.9
SPATS2L	7.1	12.7	6.9	3.1	2.2	6.6
GCKR	0.2	0.9	0.7	2.2	0.1	4.9
FGD4	3.8	1.8	5.4	2.6	3.3	1.5
VAV2	18.9	14.1	15.3	5.6	12.8	6.1
SLC9A3R2	6.1	2.4	6.8	2	7	1.5
PRPSAP1	57.7	43.9	52.8	19.6	27.7	14.1
DEFB1	0	10.1	12.2	0.4	0	0.9
GCNT3	2.6	6	2.7	6.6	1.5	13.8
GLTSCR2	38.5	22.1	43.6	14.8	21.1	41.2
GADD45GIP1	195.6	134.1	255.6	67.4	159	225.3
ASPA	6.8	1.8	2.2	0.7	2.2	0.1
AP1S2	1.7	4.7	1.1	6.2	1.8	6.1
SH3BGRL	1.3	0.8	2.2	0.4	1.2	0
CCPG1	13.9	7.9	8.5	3.8	8.3	3.7
SEPHS2	134.1	77.8	126.6	42.2	88.5	125.9
NCOA1	11.2	8.2	12.7	4.2	10	5
DLC1	9.7	21.7	9.9	17.8	6.9	17.5
DUSP16	11.7	8.6	8.9	2.1	7	2.4
MMP2	15.4	32.7	22.7	0.4	6.5	3
MARCH8	21.3	11.5	11.9	6.9	10.7	4.7
ALOX5	15	10.5	5.5	0.7	2	0.5
LARP6	65.5	53	141.1	20	29	32.8
CASP8	9.5	7.1	9.1	2.4	10.2	3.7
PITPNC1	11.2	6.4	13.8	4.9	8.3	6.1
GPR161	0.5	0.6	0.6	4.5	0.5	4.4
TFCP2L1	56.3	43.6	38.1	24	19.9	9.3
NR5A2	5	3	6	3.5	3.8	0.7
LGR6	2.1	0.1	0.9	0.1	4.9	0.5
SLC9A1	27.2	13.3	26.5	12.8	15.6	10
HHLA1	0.4	0	4.7	0.8	2	0.8
PDCL	46.3	28.3	38.6	28.4	53.2	27.1
PIK3R1	1.3	3.8	1.1	2	1.3	3.6
AP1S1	59.7	41.9	100.2	40.9	110.1	65.2
CREBL2	18.1	14.1	17.2	4.1	10.2	3.9
MIB2	4.6	1.9	7.6	1.3	1.5	3.5
C20orf24	60.7	39.8	97.9	20.3	57.5	106
FAM198B	0.2	0.6	0.1	1.7	0.5	4.4
C9orf135	30.3	13	26.9	8.6	20.5	4.9
VENTX	41.3	27.5	39.9	10.3	31.7	3.7
GLYCTK	1.3	6.4	1.8	3.9	2.4	9
NBAS	20.7	14.3	11.5	5.2	7.8	4.5
FAM155A	0.6	0	1.3	0	0.9	0.2
SPRY4	4.9	5.3	16.1	2	9.4	4.4
PYGL	30	23.6	42.3	21.4	61.8	29.3
ST6GALNAC3	11.9	7.5	12	1.6	5.5	0.9
THY1	5.1	1.5	9.9	0.8	14.3	2.4
UGP2	171.4	115.8	183.8	133.7	162.2	102
LRIG3	6.6	9	6.3	17.7	5.7	13.1
PTK2B	0.3	2.8	0.8	2.5	1.2	6.5
LINC-ROR	1.8	0.1	9.3	2.3	5.2	1.9
PQLC1	32.3	15.7	42.4	7.7	11.4	8.2
MIIP	194.7	140.4	150.1	96	135.4	66.3
ZNF48	7.9	4.6	11	2.7	1.9	3.3
PROC	2.6	0	0.7	0	0.9	0.5
PITX1	9.6	10.8	13.7	7	2.3	27.3
STMN1	1054.4	968.2	1025.1	652.1	891.8	487.8
GBX2	5.7	2.8	6.3	1.4	5.2	1.6
ABHD6	8.2	26	11.8	14.8	7.4	17.8
GNPTAB	10.1	5.6	10.5	7.1	7.6	3.1
SAMHD1	44.4	36.6	31.2	9.9	18.4	9.2
ALCAM	0.3	0.7	0.1	2.4	0.3	2.2
HOMER3	2.2	0.5	5.7	0.5	5.1	1.1
NAV1	2	1.4	4.7	1.6	3.7	2.3
OTUD1	6.3	2.9	15.5	4.7	6.2	2.9
NTRK3	2.1	0.4	3.4	0.3	1	0.2
COL9A3	6.3	3.3	7.7	1.2	7.2	3.5
MFSD2A	2.4	0.4	6.8	1.1	4.7	1.4
WDTC1	10.7	4.4	5.2	1.5	2.8	1.7
ASH2L	109.8	87	67.2	31.6	59.6	38.9
MCAM	7.5	4.7	12.4	6.8	12.5	5.5
ACHE	1.4	0.5	2.4	0.2	2.7	0.4
GSN	22	39.9	14.6	11	7.7	20.3
SYT13	0.2	0.4	0.4	1.8	0	4.1
GDPD2	72.6	64	54.8	11.8	8.9	2.5
VCAN	25.3	13.7	16.7	16.8	11.4	30.3
MEF2D	4	1.5	4.4	1.1	2.7	1.5
IGFBP2	25.1	10.5	21.8	9.3	23.2	7.2
DGAT2	2.1	7.4	8.8	2.8	0.5	6.3
ADAM9	10.4	16.6	15	38.2	17.3	29
LOC100507420.uid_10772	0.1	0.3	0.6	0.2	0	1.8
CALCR	0.5	0	0.5	0.8	0.3	2.1
CPNE2	1.7	0.1	3.1	0.3	1.2	0.3
ARL8A	9.1	3.2	8.1	2.8	1.9	3.3
SMAD6	4.5	0.7	3.2	0.8	2.3	4.3
PHLDA2	96.9	41.3	122.4	48.3	134.4	81.5
SDF4	21.5	15.4	32.3	6.9	26.3	39
PTPN5	2.6	3.8	7.2	2.7	0.7	4.7
RNF44	36.5	19.6	30.3	13.9	24.6	17.5
GPR153	2.9	1.6	3.2	0.2	1.7	0.7
MPP2	0.8	0.3	2	0.3	1.7	0.2
MAD2L2	81.7	56.6	94.7	49.5	122	60.5
ZC3HAV1	45.4	32.3	22.3	17.1	19.9	38.6
TRIM16	5	10.1	7.3	3	3.1	5.5
TBL2	4.8	9.9	7.3	13.1	11.7	23.3
PLCD1	37.4	24.9	11	2.5	10.3	4.3
PRSS35	1.2	0.4	2.7	1.2	0.9	0
SAMD8	7.9	6.1	5.2	12.4	8.8	17.2
TFPI2	0.2	0	3.4	0.6	6.6	2
ARX	0.5	0.3	4	0.4	3.9	0.1
DYNLT3	2.7	6.5	5	6	4	20.8
TCL1A	15.7	4	3.1	0.5	0	0.8
ETNK2	7.5	5.2	15.1	3.5	18.9	7.3
SH2B3	10.3	6.7	14.5	5.7	7.5	3.5
ARGFXP2	2.5	2.4	2.4	0.6	3.9	0.3
SGPP1	3.6	6.4	6.4	21.1	9.5	15.9
ALPL	254.1	219.9	213.9	69	82.9	33.5
SNRNP70	25.7	15.7	28.5	9.9	15	26.2
FOXN3	11.4	7.4	10.7	4.7	7.6	4.8
FGD1	4.5	1.8	2.7	0.7	2	0.6
MTMR14	169	120.6	66.7	29.5	58.3	39.2
KIAA1462	1.2	1.8	1.1	2.8	1.5	5.1
CAPN5	17.4	12.8	14.7	5.3	11.6	7.5
HLA-F	78.4	69.8	80.9	26.1	69.9	12.2
TRIM28	337.3	200.9	235.3	152.4	166.8	114.8
CDK6	2.4	3.2	5.8	10.1	4.1	9.3
POMC	25.2	12	50.8	22.5	31.1	11.1
KBTBD8	2.1	5.9	2.3	5.5	2.6	4.6
BEND4	0.5	0.4	3.5	0.6	2.3	0.3
JUN	1.1	0.3	0.9	0.2	3.2	17.6
RFK	28.6	42.1	34.9	86.1	40.1	85.4
POU5F1P3	35	36	47.6	10.8	33.6	11.8
CD200	9.3	6.5	11.6	2.9	13.4	1.7
PPP2R2B	3	0.7	3.3	0.8	4	0.5
CALD1	7.6	12.8	11.7	31	20.3	33.3
MTCL1	3.2	1.5	3.6	1.7	3.5	1.4
TMEM135	1.7	2.2	2.4	4.8	3	6.3
LOC284889	154.2	133.8	159.2	63.6	115.5	67.7
HDGFRP2	5	2.2	4.6	1	2.7	4.9
IFI16	75.7	81.1	41	7.1	35.8	14.5
KCNJ13	0.8	1.1	1.2	7.1	0.2	10.3
PRLHR	0.4	0	1.7	0	2.4	0
GNA13	17.2	25.1	10.1	18.6	11.3	28.5
GRN	115.9	93.8	81.8	46.6	69.9	29.6
VIL1	1.4	3.6	2	3.6	0.4	5.6
COL6A1	3.3	0.9	5.8	2	1.3	0.4
PLEKHA4	8.5	4.2	5.7	4.6	4.7	17.9
EPHX1	3.8	1	5.1	0.7	0.8	2
PGP	32.8	18.8	36.5	14.4	17.6	29.2
PRICKLE1	18.7	8.7	7.5	1.8	8.2	2.5
PYGB	228.4	200	137.1	46	106.6	53.7
SLC47A1	14.2	14.3	17.2	2.4	7.8	1.6
LOC101927746	66.5	51.4	67.8	42.4	76.7	29.4
SOX15	70.7	47.3	98.7	49.7	95	40.1
ASRGL1	345.6	287.2	248.8	116.7	142.5	100.4
APBA2	0.4	0	0.5	0.1	0.3	0
MMP9	1.7	0.6	4.1	0.4	5.7	0.6
TOMM40	103.3	74.3	130.5	52.8	60	90.4
LEPRE1	26.7	34.6	20	37.8	10.1	55.9
FRMD6	12.1	27.2	10.8	19.6	13.6	19.7
SNHG15	426.9	337.1	361.8	159.5	239	151.1
POU5F1B	3.1	2.6	4.1	1	3.1	1
S100A14	1202.7	1061.3	192.3	710.5	364.4	913.3
ACADS	37	20.7	34.4	3.5	11.8	15.2
BEND3	11.6	8.3	8.6	4.6	8.6	2.8
ACO1	16.1	25.5	19.1	42.6	14.4	29.4
ADAMTSL5	6.1	2	3.9	2.6	1.2	3.2
DDX43	15.6	11.1	13.8	5.8	13.2	4
ATP12A	0.6	0.2	8.4	1.1	9.1	2.1
SFRP1	6.8	4.1	8.2	3	3.4	6.7
LHFPL4	1.7	0.5	1.8	0.3	1.3	0.4
EOMES	0.3	0	0.4	0.1	0.3	1.9
ELF3	92	78.4	127.3	56.3	73.9	32.6
GYPC	11.8	18.3	74.5	23.2	13.6	44.9
HS3ST1	1	1.4	0.6	1.8	0.3	5.4
G6PC3	26.9	32	82.6	31.8	106.4	33.3
PCP4L1	9.9	21.2	11	9.5	8	26.6
FAM162B	10.2	8.5	14.8	3.5	32.4	4.4
ZNF428	25.1	12.8	35.3	3.5	11.4	12.9
WASF3	0.5	1.7	0.6	1.1	0.3	2.1
ART5	1.4	0	1.7	0.5	0.7	0
SLC7A4	15.7	25.2	33	68.6	34.3	19.8
CLDN19	38.5	42.6	18.6	5.8	1.6	10.6
LRIG1	2.2	1.9	6.3	2	6.4	1.2
NIPA1	2.7	1.2	4	1.2	3.2	0.6
NREP	1.4	1.4	9.6	5.7	23	1.9
FAM214B	4.9	4.1	7.5	1.7	5.7	1.9
IFI30	83	107.5	170	87.6	128.3	33.9
ZAP70	0.4	0	0.5	0	0.7	0
LMCD1	1.1	0	1.4	0.2	1.4	0.3
ORAI1	40.1	24.7	37.3	10.7	28.6	18.4
PDE4A	2.4	0.5	3.4	0.8	3.2	1.1
SLC2A3	52.1	77.8	111.4	256.4	172.1	264.5
TMC6	1	0.2	4.7	1.5	3.6	1.6
FKBP9	1.1	1.9	1	3.4	0.7	2.7
TSC22D1	21	15.8	44	31.7	56.8	26.5
PCED1B	11.1	11.8	16.9	5.4	13.6	2.5
TP63	0.2	1.3	0.9	5	2.3	1.7
CRYZ	19.6	38.7	13	29.1	19.3	35.6
RAB3B	9.1	15.5	12.4	14.3	7.4	24.5
ANKRD34A	2.1	0.3	1.4	0.2	2.2	0.9
NUDT10	0.3	0	0.6	0.1	0.9	0
RAP1A	20.2	16.6	12.9	6.7	5.4	11.8
RGS13	1.9	6.2	21.1	74.2	2.9	1.4
IGF2BP2	9.8	6.6	9.6	3.4	8.7	4.4
CABLES1	1.2	0.4	3.2	0.7	2.1	1.1
