gene	TE_E5	TE_E6	TE_E7
SLC39A10	8.7	7.9	7.2
SERINC5	13.7	11.2	10.8
ANKRD55	2.3	0.4	0.3
SCRN1	1.3	0.7	0.7
RCBTB1	13.7	4.5	3
ABCA1	0.7	2.8	1.7
RUNX1T1	0.9	0.2	0.1
CAPG	35.8	24.6	22.7
GK	0.4	0.1	0.1
ASH2L	26	19	19.8
USP28	19.4	18	12.8
TPST2	28.9	25.8	29
SERPINH1	9.2	3.3	3
WNT3	1.2	0.3	1.2
APOBEC3F	0.4	0.1	0.1
GPRC5B	2.8	0.9	2.1
FGF4	0.5	0	0.1
LBH	3.7	1.8	1.6
GRAMD1A	1.9	1.7	2.8
SPRY2	3.1	2.4	1
UTF1	1.4	0.8	0.7
CCDC80	2.2	0.7	0.7
STAT3	13.1	6.9	8.8
ITFG3	21.4	6.2	5
SPIC	4	0.1	0
BCL3	1.8	0.7	0.8
SIPA1L2	1	0.3	0.3
LIM2	1	0.3	0.4
CREBL2	4.4	2.8	1.8
MT1X	218.3	15.8	11.8
CD200	0.8	0.1	0.5
PBX3	4.5	2.4	1.2
CASP8	2.8	0.7	0.8
FAM124A	0.9	0.2	0.2
CXCL12	0.6	0.5	0.2
NGEF	3.2	0.2	0.2
AARS2	9.3	4.8	4.2
MSH6	38.2	26.7	22.1
PYGB	93.4	21.5	13
CAMKV	0.5	0.2	0.3
ESRG	11.3	9.5	7.1
FAM64A	2.8	1.2	1.1
RAB15	50.4	14.2	8.5
SOX9	0.1	0.2	0.2
SHPK	20.4	6.7	5.7
HORMAD2-AS1	27.7	8	3.1
ZSCAN10	0.7	1.8	2.1
ATP8B2	0.9	0.3	0.5
MT2A	27.8	4.3	3
ZYG11A	7.2	4.9	3.7
TNFRSF1A	5.8	3.7	4.2
RNF24	7.1	3.5	3.7
TBC1D23	25.4	14.9	14.7
FOXD3-AS1	5.2	1.8	1.4
GYPC	1.5	0.5	0.8
UBASH3B	8.8	2.9	2.2
DOCK6	5.3	2.1	1.9
CPT1A	0.7	0.5	0.8
UBTD1	5.8	1.9	3.1
ETV5	1.5	1.1	1.1
CACNB3	4	1.4	1.8
EGLN3	51.8	37.3	51.4
MDFI	1.8	2.7	6.8
HESX1	1.1	0.7	0.6
CYP2E1	6.1	1.8	0.7
APOBEC3D	0.6	0.2	0.2
GPRC5C	11.2	5.4	5.9
CHST2	19.4	4.6	2.7
SLC4A8	4.5	1.5	0.5
IGSF1	0.7	0.3	0.2
SLC47A1	4.3	0.4	0.1
RASD1	13.7	1	1.6
IL23A	0.3	0.3	0.2
ZIC3	0.1	0.3	0.1
PPAP2A	26.7	8.8	4.1
CACNA2D2	1.8	0.5	0.2
VASH2	0.3	0.4	0.3
CGNL1	0.5	0.1	0.2
PLSCR4	0.3	0.1	0.1
TBC1D16	0.4	0.3	0.5
ATG3	293.6	113	92.8
PLOD2	2.8	2.9	4.8
DEFB124	5.5	0.6	0.3
POU5F1	68.5	18.8	7.6
L1TD1	59.2	44	68.3
TTC39B	2.1	0.6	0.6
LINC01108	4.2	1.2	0.5
TMEM159	2.9	1.6	2.1
PITPNM2	0.1	0.3	0.4
IGFBP2	3.3	4.6	5.8
ACE	5.2	0.8	0.2
SERPINB6	42.9	9.1	12.3
PRDM1	0.7	0.4	0.2
SPP1	0.8	4	2.7
PTPN12	7.9	8.5	12.6
PQLC3	62.2	20.9	13.7
PSRC1	23.1	14.8	19.6
CORO1A	15.3	2.8	2.3
MAP4K1	1.5	1	0.5
TUBB2A	19	9.1	7.7
EPHA4	1.5	0.3	0.3
VSNL1	0.1	0.2	0.9
PCED1B	2.4	1.1	1.3
TUBB2B	12.7	8.8	3.9
PLCD1	11.6	1.7	1.4
SAMHD1	12.2	7.9	6.2
ASRGL1	178.7	66.3	40.9
LDLRAP1	7.6	2.9	3.5
DEPTOR	15	3.6	1.7
MYCL	6.1	2.5	3
SLC16A2	5.3	0.8	0.1
APOBEC3G	0.2	0.2	0.4
BCRP3	0.3	0.1	0.1
GGT1	0.4	0.3	0.6
PLCB4	1.1	0.1	0.1
PLA2G4F	2.8	1.5	0.4
PRUNE2	0.6	0.2	0.1
CDC42EP4	19.9	7	14.3
PLSCR1	14.4	10.1	20.5
MT1E	11.3	0.5	0.4
MT1H	26.7	1.3	1.3
PAPSS2	0.4	0.2	0.1
CBR3	3.2	1.1	0.9
KLHL3	0.3	0.1	0.1
CHST12	31.4	13.8	13.8
KLHL18	22.2	13	11.1
ANKRD34A	0.2	0.1	0.1
PIFO	1.6	1.1	1.2
GDPD2	36.2	5.6	0.8
FMO5	0.1	0.2	0.2
PXDN	0.3	0.3	0.5
OXT	122.7	42.5	11
RNASET2	19.5	7.9	7.5
LAPTM4B	36.5	24.9	18.1
PSORS1C2	12.2	0.6	1
MCL1	37.8	31.3	35.6
REST	23.7	17.7	14
ACADS	14.3	4.5	2.8
ALDH2	48.9	36.8	20.8
TGFB3	1.2	0.2	1
NLRP9	2.6	0.6	0.3
RRAD	24.2	5	2.8
TRIM56	2.7	0.6	0.6
HSPB1	30.7	12.7	17.2
FRAT2	43.4	19	19
GPC4	0.3	0.2	0.3
GABBR1	0.6	0.7	0.6
KLF4	60.1	7.5	11.3
UPP1	332.4	131.9	177.1
CDA	10.1	2.3	1.3
BAK1	21	11.5	9.6
STOM	11.1	10.7	13.1
PMP22	14.7	6.6	3.6
TRIM14	2.2	0.7	0.6
CRYBA4	0.5	0.4	0.2
NBAS	10	3.9	2.3
SLC6A6	9.8	8.6	12.2
RPL13P5	16	4.4	3
FRMD4B	12.9	15.4	16.2
SLC16A10	1.9	2.5	2
CD9	211.8	65.3	68
LIX1L	0.1	0.1	0.1
JAG1	0.7	0.4	0.9
EPHA7	0.4	0	0
MAP1B	0.4	0.4	0.3
LARP6	26.3	8.9	2.1
POU5F1P3	16.5	4.7	1.8
SEPT6	0.2	0.4	0.5
KCNS3	0.7	0.7	1.7
MICB	2.5	1	1.8
SCNN1A	3	1.4	0.4
MTCL1	0.7	0.3	0.2
HHLA1	0	0.1	0.2
TCEA1	19.2	13.3	11.1
KAT7	10.5	10.5	10
FAM214B	1.8	1	1.2
BRWD3	3	2	1.5
LOC100506790	14	4.7	1.2
SEPT11	29.9	14.3	17.3
TNRC6C	0.9	0.8	0.5
CR1L	0.3	0.1	0
ZNF462	0.2	0.1	0.1
ITM2C	64.9	21.1	17.3
SERPINE2	4	3.2	4.1
YIPF4	40.8	24.7	26.7
C9orf135	3.1	2.7	2.9
KRT19	96.4	716	1323.1
NRG1	0.7	0.1	0.2
TEC	2.4	1.5	0.7
DPPA4	37.5	33	39.2
ABHD12B	12.4	9.8	5.1
PLBD1	28.2	29.9	26.8
RPS6KA2	0.4	0.2	0.2
MEG9	0.1	0.1	0
MRC2	0.1	0.1	0.2
CD44	0.3	0.1	0.2
CEP85L	1.8	2.1	2.7
PLEKHA5	8.8	4.4	3.6
LRIG1	0.5	0.6	0.5
CRYM	0.3	0.3	0.4
CECR1	1.5	0.2	0.1
GABARAPL1	74.5	30	65.4
CCPG1	6.9	1.9	1.9
PI16	1.7	0.2	0.2
OTUD1	2.1	1.7	1.2
NNT	4.2	2.8	1.3
LRP2	26.3	57.7	30.6
TNFRSF8	0.3	0.2	0.2
S100A6	214.3	738.9	707.6
ABCG2	30.8	71.3	93.2
LINC01160	16.8	3.1	3.6
GSN	6	1.7	2
PTPRZ1	0.1	0	0.1
ABCC2	1.4	0.5	0.3
UNC119	7.7	5.3	7.1
CDCA7L	0.5	0.3	0.7
NCOA1	6.7	2.4	2.2
IER5	1.9	1.3	2
LINC-ROR	0	0.3	0.2
SPRED2	6.3	6.7	5.8
PLLP	17.3	1.8	1.8
FAM46B	41.5	14	10.6
MRS2	83.5	52	53.7
PTPRD	0	0	0.1
KLF7	0.3	0.2	0.1
CD70	0.2	0.3	0.4
AKNA	0.6	0.3	0.4
ADAMTS4	0.1	0.1	0.2
TSPAN18	6.9	1.5	1
TNFSF9	8.9	1.6	1.2
POU5F1P4	6.1	2.1	0.8
GBX2	0.9	0.4	0.3
TMEM229B	0.7	0.3	0
VSIG10	44.8	15.5	6.9
SDCBP	43.2	41.4	62.5
DST	4.9	2.6	2
SLC7A4	55.6	104.4	92.8
SCAMP1	10.3	6.8	3.9
BEND4	0.2	0.1	0.1
LIMCH1	0.8	0.2	0.1
EMP2	19.8	58.5	77.5
ETNK2	1.9	2.2	3.8
CENPA	20.7	9.6	9.5
LOC100505817	10.3	6.9	2
WARS	163.5	107.2	73.2
DLGAP3	0.9	0.3	0.2
IFITM3	285.9	160.2	257
FAM124B	0.1	0	0
NREP	0.4	0.9	1
CHST7	0.8	0.4	0.5
TUBA1A	3.7	7	4.2
SMAD3	1.2	0.4	0.5
POU5F1B	1.5	0.4	0.2
ARFGEF1	16.3	6.8	5
MUC4	0.2	0.2	0.2
TMBIM1	67.6	21.1	30.3
OLR1	21.1	31.7	30.2
MX1	97.6	25.8	4.5
TUBB3	33.6	23.5	22.8
MMP9	0.1	0.1	0.2
IFT172	3.1	1.2	1.2
TSPAN13	46.3	46.1	27.8
APOE	34.5	32.5	33.3
ADD2	0.3	0.1	0
MTSS1	0.4	0.6	0.5
SEPHS2	41.3	39.4	37.9
DENND2A	0.6	0.2	0.2
PCSK5	0.5	0.5	0.5
SERPINB9	24.9	38.2	110.2
LEFTY1	1.3	1.1	3.6
RTL1	0	0	0
MKRN1	40	25.2	22
DUSP16	5.3	2.9	1.4
PPT1	196	336.9	239.6
REC8	1.4	1.8	2
PNMA2	0.4	0.1	0
ADORA2B	4.5	4.5	2.5
TBCD	33.5	12.6	6.5
CASP10	0.6	0.3	0.2
MFGE8	2.4	1	1.1
PBX1	1.1	0.5	0.1
SLC28A3	29.4	32.5	19
KRTCAP3	36.3	18.7	17.7
NQO2	65.1	22.5	27.7
NMNAT2	0.3	0.3	0.8
B3GNT7	42.7	20.5	5.2
SLC45A4	1.2	1.2	2.5
SLC25A18	2.2	0.5	0.5
OLFML1	12.8	13	10.9
LOC101928254	0.7	0.2	0.1
PMEPA1	0	0.1	0.2
ESAM	2.2	0.2	0.5
RPRM	0.5	0.2	0.5
TLL2	0.2	0.1	0.1
SLC35F6	58.7	26.9	23.7
SHD	1.2	0.7	0.3
HEY2	3.4	0.2	0.3
RND2	6.6	2.7	1.8
LZTS1	0.7	0.1	0.3
INSR	5.1	2.9	2.8
BHMT	3.2	0.2	0.1
KAZN	6.5	3	2.3
PKD1L1	0.2	0.1	0.1
PAK1	7.5	5.2	4.7
FOLR1	181.9	313.9	291.6
TMEM63A	3	2.6	3.4
TMPRSS13	11.3	17.4	16.1
ZIC2	0.3	0.1	0.1
RTP3	22.4	6.4	2.3
CALB1	2.9	2.8	1.5
SAMD11	0.2	0.2	0.1
IL15	0.3	0.2	0.2
FABP3	267.9	866.2	406.9
PARP1	78.1	74.6	69
FAM102B	5	2.9	2.6
MAD2L2	54.8	23.2	26.6
CYP4F35P	0	0	0
PARP9	0.2	0	0
ITGA2	0.1	0.1	0.1
GTF3C1	9.9	8	10
FAM151A	274.2	34.7	6.3
PDPN	25.2	7.7	2.9
SUSD2	51.1	20.2	11.7
GRK5	1.5	0.6	1.1
CRYBB1	0.3	0.2	0.3
DZIP1L	0.3	0	0.1
APOC1	1171.2	641	395.7
GRB7	20.1	7.9	7.2
TRIM26	9.8	6.1	5.5
EPB41L2	8.8	5.2	3.5
TRIM38	1.4	0.3	0.2
NSMAF	13.7	12	13.4
UNC5B-AS1	0.4	0.1	0.1
CAST	18.9	25.6	19.6
GLS2	0.2	0.1	0.3
NR1H2	52	30	36
FOXH1	31.2	19.2	6.7
CDH8	0.7	0.2	0.1
SPRY4	2.1	1.5	2
PPP2R2B	0.6	0.2	0.1
THY1	0.3	0.1	0.2
HOMER2	5.9	0.7	0.7
BMP2	3.6	0.3	0.7
ARRDC2	5.2	1.8	1.1
TPTE2P6	0.3	0.2	0.1
DAB2	159.1	140	114.3
CNR2	2.8	0.5	0.2
C2CD4C	0.5	0.1	0.1
ARSE	0.1	0.3	0.3
TMX4	3.8	2.1	1.8
MCAM	4.8	1.8	2.2
EFNA1	141.4	144.9	174.3
ASPA	0.7	0.2	0.1
MYO1G	1	0.2	0.1
AHCYL2	1.8	1.4	1.3
ARFGAP3	5.5	3.1	5
MTMR14	55	21	41.5
NFKBIA	118.5	55.5	46.1
UGP2	86.5	80.5	85.1
NFKB2	20.9	5.7	4.6
LOC101929549	2.3	0.8	0.7
TFPI2	0	0.1	0.2
PGM2L1	2	2.1	2
SMCO4	11.9	4.4	4.3
CNIH4	179.7	120.8	94.8
ZMYND8	13.9	15.1	17.8
FGF8	0.3	0.6	0.6
FAM162B	6.5	0.7	1.3
LPAR1	0.6	0.2	0
PRSS8	172.5	265.2	257.3
PRKAB2	4.1	2.3	1.9
KHDC3L	12.9	2	6.6
SPARC	83.6	42.4	20.9
MYOF	30.2	26.1	24.8
ALKBH7	74.8	39.2	42.6
HLA-F	57.7	11.7	4
FZD5	14.1	15.1	23.3
ID1	129.2	33.9	44.6
ZNF490	2.4	1	1.2
PAMR1	2	0.2	0.2
ATP6V0A4	75.5	60.1	31
USP13	0.6	0.4	0.4
DPY19L1	1.4	1.2	1.2
ARX	0.2	0.2	0.1
PPP1R16B	0.2	0	0
SCGB3A2	166.6	49.9	9
SNHG24	0	0.1	0
MICA	1	0.4	0.7
OSMR	0.6	0.4	0.3
CECR2	0.9	0.5	0.5
ETHE1	82.8	30.6	20.1
ATP12A	0.2	0.3	0.4
IL4R	0.9	0.4	0.6
CA4	0.9	0.2	0.2
AMDHD1	1	1.9	1
HNF4A	9.1	3.1	1.5
LYZ	0.7	0.2	0.1
DIAPH2	1.1	0.7	0.8
ZSCAN2	5.8	4.3	6.5
JADE2	4.3	2.3	1.4
EPHB4	6.3	7.4	15
DPYSL2	4.7	3.7	3.9
SH2B3	4.3	4.7	2.3
DAGLA	0.3	0.1	0.2
PQLC1	11.1	4.2	5
LGR6	0	0	0.1
ANKRD6	4.1	9	14.9
ATP6V1B1	109	74.8	36.3
FOXD3	0.2	0.1	0.1
MMP2	2.1	0.1	0.6
SPATS2L	2.4	0.8	0.9
DPF1	5.6	1	0.6
ZFP57	28.3	20.1	16.8
CLDN19	11.5	0.8	0.6
CEP164	4.7	2.4	1.7
PDE6G	5.1	3.1	0.5
NEFL	3.9	1.2	0.2
CARHSP1	30.9	34.3	50.9
ARHGAP33	0.1	0.1	0.2
ADAMTS12	0.2	0.2	0.1
GRHL2	17.3	15	10.6
LRRC32	1.3	0.2	0.2
SNHG15	280	104.5	112.2
CECR5	22.1	17.8	13.5
SLC7A2	48.5	83.2	68.2
LACTB	6.5	3.3	2.7
TACSTD2	104.5	105.1	118.1
KIF5C	0.2	0.1	0.1
RGS10	56	31.7	15.8
TRIB2	0.1	0.1	0.2
ALPL	202.8	63.7	15
ENPEP	19	24.8	16.5
MPP2	0.2	0	0.3
ODAM	7.3	47.7	56.6
NRGN	2.8	0.4	0.2
SLC5A5	7.1	2	1.5
PROCR	32.8	23.6	33.2
TGFBR3	31.8	33.7	20.6
PTGES	559.8	259.8	176
ARGFXP2	0.8	0.4	0.1
FXYD5	9.2	19.8	56.3
RNF125	8.5	7.9	4.2
MEG8	0.4	0	0.1
PLIN3	49.7	38.1	34
SERPINE1	5.9	1.9	3.3
PYCARD	4.8	1.5	0.9
FNDC4	0.8	0.7	0.2
B2M	8.5	3.7	29.5
MDK	233.7	201.6	256.3
TMEM132C	0.1	0	0
ZSWIM3	3.2	2	1.4
CREB3L1	0.2	0.4	0.8
GPM6B	2.1	1.6	1.6
GCHFR	54.8	13.3	7.5
CTSF	7.5	3.2	1.5
DNAJC6	5.8	6.8	3.9
G6PC3	22.4	24.5	27.3
ALPP	115.8	104.1	48
GRN	63.7	31	29
GPR153	1.2	0.3	0.2
GRM4	1.4	0.3	0.1
ARMCX2	0.3	0.2	0.1
MMP24	1	0.2	0.2
SIAH1	17.2	16.4	15.8
MAEL	15	4.5	3.2
LINC00467	2.1	0.6	1
SLC44A1	2	2.1	1.4
HUS1	29.3	26.2	28.2
HIP1	10.8	12.2	7.3
ALDH3A2	23	9.6	8.8
AHNAK	24.3	19.8	13.4
SIX2	1.3	0.7	0.2
PALLD	20.8	38	28.5
MT1L	2.2	0.3	0.2
LGALS1	27	65.9	82.4
NR5A2	1.7	2.1	0.8
SLCO5A1	0.3	0	0
CNTLN	0.7	0.6	0.3
ARRB1	5.9	4.4	6.5
NAALAD2	6.3	17.5	11.8
STX2	1.4	1.4	1
TSPAN9	3	1.8	5.2
GATA3	166.9	152.7	179
TMEM8A	9.8	5.2	3.4
PDK3	1.6	0.8	0.6
RAB29	1.8	2.7	3.9
SESN3	1.5	0.5	0.3
SRGAP1	2.2	0.7	0.4
PTPRG	1	0.7	0.6
LHFPL4	0.4	0.1	0.2
ANXA4	2.4	1.7	0.7
GALNT18	0.3	0.6	0.5
MVP	5.4	4.8	6.8
SEMA4B	5.5	4.3	5.4
MDGA2	0	0.1	0.1
MYC	102.8	126.3	100.8
AIM1	0.2	0.5	3.1
PKDCC	0.5	0.4	0.1
RABAC1	125.4	79.1	85.2
CLDN4	533.3	536.1	713.3
TCL1B	9.9	3.4	1.7
DEFB123	1.2	0.3	0.2
ELMOD1	2.3	0.6	0.4
SMG1P7	1.5	0.5	0.4
NAV1	0.7	0.9	1.9
FOXP1	3.4	1.3	1
LAMA1	54.4	65.7	56.9
PHKA2-AS1	6.2	2.4	0.8
RUSC2	0.2	0.2	0.2
SLC22A20	0.3	0.4	0.4
C4BPB	26	60.4	31.5
NMT2	3.6	1.1	1
HLA-DPB2	0.1	0	0
FANCA	10.8	5.8	5.3
WDR66	14.1	6.2	3.1
PRSS3	8.1	0.2	0.1
GPC3	3.6	1.3	1.1
SLC37A4	35.2	29.1	25
MFSD2A	1.5	1.5	0.5
NIPA1	1.3	0.9	0.6
MEIS2	0.7	0.8	1
PRR13	366.1	104.2	88
PHLDA3	20.6	12.5	17.3
MRPS23	154.2	130	105.2
COL26A1	1.4	0.3	0.4
SESN1	11.6	6.6	9.7
TOR3A	25.6	26.7	31.9
MYO6	7.7	14.1	18.9
PDK1	0.8	0.6	1.3
KDM7A	2	1.1	1.3
SPSB2	21.5	7.2	8.2
HOMER3	0.9	0.2	0.6
DLC1	25.7	21.8	19.5
ITGA6	6.5	5.5	5.7
ZNF428	7	5.9	4.6
NETO2	3.9	3	2.6
ADAM18	3.8	2.4	3.6
N4BP3	1.9	1.5	1.5
NOTCH1	0.3	0.2	0.2
SLC34A2	67.3	25	12.2
RAB3D	6	2.4	2.3
AXIN2	2.1	3.7	6.1
CNIH3	0.3	0.3	0.3
BARD1	27.2	14.2	13.1
LOC101927746	29.7	34.8	25.4
FBXO36	10.6	5.5	2.8
VRTN	0.6	0.2	0.1
METTL7A	0	0.3	0.2
PNRC1	7.8	4.2	5.1
LINC01356	11	9.9	23.3
SULT1A1	2.7	1	0.9
REM1	0.7	0.2	0.1
FAM221A	3.7	1.7	1.5
GSDMD	0.3	0.5	0.4
BBC3	5.6	4.3	2.8
ADAM15	22.5	40.2	43.1
KBTBD2	2.1	3.4	5.8
SLC7A5	97.3	147.1	108.1
SMPDL3A	92.9	99.4	74.2
SLC25A29	23.6	12.6	10.8
FADS1	2.2	17.8	43.9
AGL	41.5	53.5	28.4
DSTNP2	9.1	5.7	5.1
ADK	34.8	55.4	61.7
BICD1	7.1	3	3.7
GBA3	0	0	0.1
MT1HL1	6.1	1.9	0.6
TMEM51	8.4	3.4	2.6
PDGFRA	5.4	1.1	1
RASGEF1A	16	3.1	1.4
FGD4	2.7	1.6	1
YBX3	25	10.5	10
CDK6	7.9	15	8.1
DFNB31	0.3	0.2	0.3
GMFB	18	6.6	6.8
JAZF1	2.7	0.5	0.5
SLC25A4	4.4	3.4	4.1
PSEN2	2	1.4	2
FAM174B	0.5	0.2	0.1
HAT1	59.4	65.1	66.9
APOBEC3B-AS1	0	0.1	0.2
ITGAX	0.2	0	0
SMAD6	0.7	0.3	0.3
ACOT8	33.1	15.4	12.6
CD320	196.7	159.8	168.2
EPHB1	0.6	0.1	0.1
LGALS2	5.1	1.8	1.7
MLLT3	1.4	0.6	0.5
EPHX3	4.2	4.3	4.2
DEFB122	23.1	2.1	0.2
TRIM8	17	5.2	2
SAT2	2.6	3.1	6.5
PDCL	22.9	21.4	25
ALOX5	2.6	1.3	0.5
LINC00673	2.5	0.2	0.4
NCKAP5L	0.6	0.7	1.4
MPC2	12.5	9	5.1
ARHGAP42	2.6	1.6	1.4
KHDC1L	6767.3	2698.5	951.8
NTNG1	0.4	0.1	0.1
CRYGB	0.1	0.6	0.1
CACNA2D1	0.3	0	0.1
SPATA6	0.8	0.3	0.3
GEM	0.9	0.1	0.2
NLRP12	8.3	2.9	2.1
PLAC8	35.7	34.3	20.9
LAMP2	76.4	113.8	68.4
MRAS	0.2	0.3	0.6
JARID2	13.5	16.1	19
CHST4	0.9	0.1	0.3
NACAD	0.1	0.4	0.1
SLC9A3R2	4.1	1.6	1
HYOU1	46.4	28.7	35.6
HLTF	4.6	2.7	1.7
ENTPD6	32	19	16.7
CCKBR	9.3	137.5	363
TFRC	71.6	130.2	117.1
RFK	102.8	86	61.5
SHB	3.6	2	1.5
PRSS35	0	0.1	0
RNASE10	1.4	0.1	0.3
HAS2	1.4	3	0.3
QPCT	1.2	0.2	0.5
PYY2	5.7	3.5	5
BRDT	31.8	16.9	20.4
PPM1B	14.4	22.3	42.7
JDP2	13	16.5	10.3
SLC7A3	59.4	17.7	3
ANKK1	0	0.1	0
FBXO44	0.3	0.1	0.1
PYGL	15.3	20.1	26.8
ADAM9	28.1	40.9	31.9
CD38	0.9	0.5	0.2
PIK3AP1	0.2	0.2	0
MSN	10.9	2.5	1.4
SALL3	0.7	0.2	0.1
NIM1K	4.2	8.8	6
C6orf1	8.4	6.7	11.9
ZNF335	12.8	12.1	13.4
NRIP3	28	7	2.3
KCNK6	3.6	2.5	2.5
CEACAM1	5.2	1.1	3
S100A16	1533.7	1008.6	632.9
GLUD1	27	15.1	12.2
LIMD2	0.2	0.2	0.4
MOGAT3	2.7	0.7	0.1
VWA5A	3.2	0.4	0.3
TACC1	28.9	34	30.6
SFRP2	0.1	0.1	0.3
EXOC3L1	0.3	0.2	0.1
LOC284889	95.5	57.2	70.1
ASB1	2.4	1.2	2.3
PECAM1	0.3	0.1	0
RGCC	35.4	29.5	7.1
RAD51	107.3	59.5	52.2
REG1A	1.3	0	0.1
CDH3	7.8	5.4	4.8
ASAH1	44	92.1	75.1
LYPD1	0.1	0.1	0.2
AKAP7	0.6	0.3	0.2
NRN1	3.5	2.1	1.1
FYN	1.9	0.7	1.1
EFR3B	12.9	4.3	2.2
DDIT3	28.7	18.1	40.1
VAV2	11.7	6.4	4.9
GREB1L	4	7.5	7.9
LRRFIP1	36.4	63	65.6
LRRC37BP1	1.4	0.8	0.5
RNF44	17.4	12.9	13.5
INPP5D	10.1	6.4	0.9
GNAI2	20.6	12	12.1
PBX4	4.3	3.7	3.5
SEC23A	6.4	7.5	6.8
CCDC88A	1.2	1.3	0.6
SEMA6D	13	8.8	5.8
VASH1	0.8	0.1	0.1
GATA2	142	188.1	232.5
ESCO1	8.7	10.5	10.1
SKIL	6.6	6.4	3.6
SPHK1	18.4	6	3.5
SEMA4G	0.8	0.4	0.4
ATG5	50.7	48.8	54.6
PLEKHA4	2.4	1	1.7
TMEM106C	43	69.8	100.6
SLC6A8	71.7	16.8	6.2
HMGA2	0	0.1	0.1
CDH5	0.4	0.1	0.3
TMPRSS2	19.2	22.8	12.3
MDP1	7.4	3.1	2.6
ABAT	0.4	0	0.1
TCF19	5.5	3.1	3.3
GABRB3	4.9	3.1	3.6
TERF1	3.1	4.2	4.8
TUBB4A	1101.2	506.9	156.1
TET2	44.7	34.7	25.2
PRPSAP1	45.5	17.5	9.5
ZNF90	14.9	11.8	10.4
SLC12A3	46.7	32.8	16.6
CDIP1	4.1	1.3	1.5
PIP5K1B	19.6	12	7.2
PLXND1	6.5	5.1	6.6
LOC101927873	2.7	0.5	0.1
ZNF675	8.3	6.9	5.8
PODXL	1.2	1.2	1.5
ARF3	26.5	23.5	23.9
DNAJC22	0.9	0.5	0.3
KANK4	5.1	7.5	10.1
MOG	0.2	0.2	0.2
TCF7L2	14	30.4	47.9
TTYH3	0.3	0.6	1.1
PTH1R	0.9	0.1	0
GSTO1	109.7	58.6	35.9
ATG9B	22.2	3.8	6.7
KIT	2.3	0.5	0.2
RGS14	1	0.8	1.5
NEIL1	0.7	1.4	1.4
THEMIS2	2	1.2	1.6
BASP1	321.7	281.2	184.7
CYP1B1	11	2.7	7.4
STK36	2	1.2	1
PCMTD2	9.2	7.8	4.5
STMN1	733.3	623.1	505.7
PHF19	0.1	0.2	0.3
SHANK2	1	0.5	0.2
NBR1	6.7	4.7	5.8
FILIP1	10.7	6.9	4.8
APOC1P1	25.3	6.9	4.4
TEAD1	15.6	23	25.3
CHD7	12.2	13.6	12.8
DDX43	9.8	3.9	6
GM2A	42	39.9	26.6
TSHZ3	0.1	0.1	0.1
KDM4C	6.1	5	5.6
PSME1	10.3	12.9	17.4
NGFR	0.1	0.1	0
IER2	79.1	49.9	77
PPP1R12B	1.6	1.3	1.6
TAGLN2	654.4	668.3	509.3
TNFRSF25	2.6	0.4	0.3
ZNF710	0.4	0.3	0.3
HLA-A	0.1	0.2	0.2
C2CD5	2.6	2.3	1.5
MLN	0.5	0.1	0
SLC39A8	0.1	0.1	0.4
IER3	9.1	9.1	19.7
NADK	11.8	11.4	12.7
ZNF398	6	2.9	1.9
